,continent,country,population,cases,deaths,tests,day,time
99,Europe,North-Macedonia,2081304.0,"{'new': '+66', 'active': 1536, 'critical': None, 'recovered': 337068, '1M_pop': '167338', 'total': 348281}","{'new': '+1', '1M_pop': '4649', 'total': 9677}","{'1M_pop': '1069626', 'total': 2226216}",2023-05-30,2023-05-30T14:30:13+00:00
100,Africa,Kenya,56215221.0,"{'new': '+1', 'active': 77, 'critical': 1, 'recovered': 337309, '1M_pop': '6103', 'total': 343074}","{'new': None, '1M_pop': '101', 'total': 5688}","{'1M_pop': '70569', 'total': 3967062}",2023-05-30,2023-05-30T14:30:13+00:00
101,Africa,Botswana,2441162.0,"{'new': '+6', 'active': 12, 'critical': 1, 'recovered': 327049, '1M_pop': '135125', 'total': 329862}","{'new': None, '1M_pop': '1147', 'total': 2801}","{'1M_pop': '830300', 'total': 2026898}",2023-05-30,2023-05-30T14:30:13+00:00
102,Africa,Namibia,2633874.0,"{'new': '+88', 'active': 120, 'critical': None, 'recovered': 167099, '1M_pop': '65041', 'total': 171310}","{'new': '+1', '1M_pop': '1553', 'total': 4091}","{'1M_pop': '403460', 'total': 1062663}",2023-05-30,2023-05-30T14:30:13+00:00
103,Africa,Uganda,48432863.0,"{'new': '+104', 'active': 66712, 'critical': 3, 'recovered': 100431, '1M_pop': '3526', 'total': 170775}","{'new': None, '1M_pop': '75', 'total': 3632}","{'1M_pop': '62198', 'total': 3012408}",2023-05-30,2023-05-30T14:30:13+00:00
104,Africa,Cameroon,27911548.0,"{'new': '+53', 'active': 257, 'critical': 13, 'recovered': 122807, '1M_pop': '4480', 'total': 125036}","{'new': '+1', '1M_pop': '71', 'total': 1972}","{'1M_pop': '62762', 'total': 1751774}",2023-05-30,2023-05-30T14:30:13+00:00
105,Africa,DRC,95240792.0,"{'new': '+249', 'active': 10696, 'critical': None, 'recovered': 84489, '1M_pop': '1015', 'total': 96652}","{'new': '+2', '1M_pop': '15', 'total': 1467}","{'1M_pop': '8890', 'total': 846704}",2023-05-30,2023-05-30T14:30:13+00:00
106,Africa,Gabon,2331533.0,"{'new': '+11', 'active': 11, 'critical': None, 'recovered': 48674, '1M_pop': '21013', 'total': 48992}","{'new': '+1', '1M_pop': '132', 'total': 307}","{'1M_pop': '695641', 'total': 1621909}",2023-05-30,2023-05-30T14:30:13+00:00
107,Oceania,Papua-New-Guinea,9292169.0,"{'new': '+15', 'active': 2212, 'critical': 7, 'recovered': 43982, '1M_pop': '5043', 'total': 46864}","{'new': None, '1M_pop': '72', 'total': 670}","{'1M_pop': '26813', 'total': 249149}",2023-05-30,2023-05-30T14:30:13+00:00
108,Africa,Guinea,13865691.0,"{'new': '+101', 'active': 338, 'critical': 8, 'recovered': 37757, '1M_pop': '2781', 'total': 38563}","{'new': '+1', '1M_pop': '34', 'total': 468}","{'1M_pop': '47607', 'total': 660107}",2023-05-30,2023-05-30T14:30:13+00:00
109,North-America,Barbados,288023.0,"{'new': None, 'active': 230, 'critical': None, 'recovered': 106971, '1M_pop': '374255', 'total': 107794}","{'new': None, '1M_pop': '2059', 'total': 593}","{'1M_pop': '2782594', 'total': 801451}",2023-05-30,2023-05-30T14:30:13+00:00
110,South-America,Guyana,794045.0,"{'new': '+9', 'active': 29, 'critical': None, 'recovered': 71880, '1M_pop': '92195', 'total': 73207}","{'new': None, '1M_pop': '1635', 'total': 1298}","{'1M_pop': '918950', 'total': 729688}",2023-05-30,2023-05-30T14:30:13+00:00
111,Europe,Montenegro,627950.0,"{'new': '+15', 'active': 480, 'critical': 6, 'recovered': 288546, '1M_pop': '464771', 'total': 291853}","{'new': None, '1M_pop': '4502', 'total': 2827}","{'1M_pop': '4386900', 'total': 2754754}",2023-05-30,2023-05-30T14:30:13+00:00
112,Asia,Uzbekistan,34382084.0,"{'new': '+136', 'active': 10539, 'critical': 23, 'recovered': 241486, '1M_pop': '7378', 'total': 253662}","{'new': None, '1M_pop': '48', 'total': 1637}","{'1M_pop': '40077', 'total': 1377915}",2023-05-30,2023-05-30T14:30:13+00:00
113,North-America,Martinique,374087.0,"{'new': '+75', 'active': None, 'critical': 12, 'recovered': None, '1M_pop': '614763', 'total': 229975}","{'new': '+2', '1M_pop': '2946', 'total': 1102}","{'1M_pop': '2215870', 'total': 828928}",2023-05-30,2023-05-30T14:30:13+00:00
114,Asia,Kyrgyzstan,6728271.0,"{'new': '+2', 'active': 7493, 'critical': 131, 'recovered': 196406, '1M_pop': '30749', 'total': 206890}","{'new': None, '1M_pop': '445', 'total': 2991}","{'1M_pop': '283460', 'total': 1907195}",2023-05-30,2023-05-30T14:30:13+00:00
115,North-America,Guadeloupe,399794.0,"{'new': '+183', 'active': None, 'critical': 19, 'recovered': None, '1M_pop': '507351', 'total': 202836}","{'new': None, '1M_pop': '2544', 'total': 1017}","{'1M_pop': '2346306', 'total': 938039}",2023-05-30,2023-05-30T14:30:13+00:00
116,Asia,Bhutan,787941.0,"{'new': '+2', 'active': 1085, 'critical': None, 'recovered': 61564, '1M_pop': '79536', 'total': 62670}","{'new': None, '1M_pop': '27', 'total': 21}","{'1M_pop': '2923739', 'total': 2303734}",2023-05-30,2023-05-30T14:30:13+00:00
117,Asia,Brunei,445431.0,"{'new': None, 'active': 59893, 'critical': 3, 'recovered': 243601, '1M_pop': '681854', 'total': 303719}","{'new': None, '1M_pop': '505', 'total': 225}","{'1M_pop': '1611437', 'total': 717784}",2023-05-30,2023-05-30T14:30:13+00:00
118,Africa,Burundi,12624840.0,"{'new': None, 'active': 144, 'critical': None, 'recovered': 53569, '1M_pop': '4258', 'total': 53751}","{'new': None, '1M_pop': '3', 'total': 38}","{'1M_pop': '27386', 'total': 345742}",2023-05-30,2023-05-30T14:30:13+00:00
119,North-America,Jamaica,2985094.0,"{'new': '+55', 'active': 48480, 'critical': None, 'recovered': 102964, '1M_pop': '51922', 'total': 154993}","{'new': '+4', '1M_pop': '1189', 'total': 3549}","{'1M_pop': '396633', 'total': 1183986}",2023-05-30,2023-05-30T14:30:13+00:00
120,Oceania,French-Polynesia,284164.0,"{'new': '+24', 'active': None, 'critical': 7, 'recovered': None, '1M_pop': '276492', 'total': 78569}","{'new': None, '1M_pop': '2284', 'total': 649}","{'1M_pop': None, 'total': None}",2023-05-30,2023-05-30T14:30:13+00:00
121,North-America,Haiti,11680283.0,"{'new': '+9', 'active': 25, 'critical': None, 'recovered': 33361, '1M_pop': '2932', 'total': 34246}","{'new': None, '1M_pop': '74', 'total': 860}","{'1M_pop': '11337', 'total': 132422}",2023-05-30,2023-05-30T14:30:13+00:00
122,Asia,Syria,19364809.0,"{'new': '+13', 'active': 74, 'critical': None, 'recovered': 54370, '1M_pop': '2975', 'total': 57608}","{'new': None, '1M_pop': '163', 'total': 3164}","{'1M_pop': '7553', 'total': 146269}",2023-05-30,2023-05-30T14:30:13+00:00
123,Africa,Mauritius,1274727.0,"{'new': '+76', 'active': 729, 'critical': None, 'recovered': 40740, '1M_pop': '33355', 'total': 42518}","{'new': None, '1M_pop': '823', 'total': 1049}","{'1M_pop': '281374', 'total': 358675}",2023-05-30,2023-05-30T14:30:13+00:00
124,Africa,Sudan,45992020.0,"{'new': None, 'active': 264, 'critical': None, 'recovered': 58683, '1M_pop': '1391', 'total': 63993}","{'new': None, '1M_pop': '110', 'total': 5046}","{'1M_pop': '12240', 'total': 562941}",2023-05-30,2023-05-30T14:30:13+00:00
125,Africa,Madagascar,29178077.0,"{'new': '+7', 'active': 9, 'critical': None, 'recovered': 66854, '1M_pop': '2340', 'total': 68288}","{'new': '+1', '1M_pop': '49', 'total': 1425}","{'1M_pop': '18206', 'total': 531218}",2023-05-30,2023-05-30T14:30:13+00:00
126,Asia,Laos,7481023.0,"{'new': '+1', 'active': None, 'critical': None, 'recovered': None, '1M_pop': '29171', 'total': 218226}","{'new': None, '1M_pop': '101', 'total': 758}","{'1M_pop': '164845', 'total': 1233207}",2023-05-30,2023-05-30T14:30:13+00:00
127,Africa,Algeria,45350148.0,"{'new': None, 'active': 81907, 'critical': None, 'recovered': 183047, '1M_pop': '5994', 'total': 271835}","{'new': None, '1M_pop': '152', 'total': 6881}","{'1M_pop': '5093', 'total': 230960}",2023-05-30,2023-05-30T14:30:13+00:00
128,Africa,Ivory-Coast,27742298.0,"{'new': '+1', 'active': -1, 'critical': None, 'recovered': 87497, '1M_pop': '3184', 'total': 88331}","{'new': '+1', '1M_pop': '30', 'total': 835}","{'1M_pop': '60951', 'total': 1690934}",2023-05-30,2023-05-30T14:30:13+00:00
129,Asia,Maldives,540985.0,"{'new': '+26', 'active': 22649, 'critical': 25, 'recovered': 163687, '1M_pop': '345021', 'total': 186651}","{'new': None, '1M_pop': '582', 'total': 315}","{'1M_pop': '4092223', 'total': 2213831}",2023-05-30,2023-05-30T14:30:13+00:00
130,Africa,Cabo-Verde,567678.0,"{'new': '+10', 'active': 119, 'critical': 23, 'recovered': 63388, '1M_pop': '112601', 'total': 63921}","{'new': None, '1M_pop': '729', 'total': 414}","{'1M_pop': '707482', 'total': 401622}",2023-05-30,2023-05-30T14:30:13+00:00
131,Africa,Togo,8680837.0,"{'new': '+2', 'active': 3, 'critical': None, 'recovered': 39206, '1M_pop': '4550', 'total': 39499}","{'new': None, '1M_pop': '33', 'total': 290}","{'1M_pop': '93507', 'total': 811719}",2023-05-30,2023-05-30T14:30:13+00:00
132,Asia,Cambodia,17168639.0,"{'new': '+1', 'active': 28, 'critical': None, 'recovered': 135688, '1M_pop': '8083', 'total': 138772}","{'new': None, '1M_pop': '178', 'total': 3056}","{'1M_pop': '180062', 'total': 3091420}",2023-05-30,2023-05-30T14:30:13+00:00
133,Europe,Malta,444033.0,"{'new': '+79', 'active': 554, 'critical': 4, 'recovered': 117365, '1M_pop': '267449', 'total': 118756}","{'new': '+1', '1M_pop': '1885', 'total': 837}","{'1M_pop': '4818034', 'total': 2139366}",2023-05-30,2023-05-30T14:30:13+00:00
134,Asia,Afghanistan,40754388.0,"{'new': '+144', 'active': 16254, 'critical': 45, 'recovered': 197406, '1M_pop': '5437', 'total': 221574}","{'new': None, '1M_pop': '194', 'total': 7914}","{'1M_pop': '30944', 'total': 1261111}",2023-05-30,2023-05-30T14:30:13+00:00
135,Asia,DPRK,25990679.0,"{'new': None, 'active': 0, 'critical': None, 'recovered': 4772739, '1M_pop': '183636', 'total': 4772813}","{'new': None, '1M_pop': '3', 'total': 74}","{'1M_pop': None, 'total': None}",2023-05-30,2023-05-30T14:30:12+00:00
136,Asia,Iraq,42164965.0,"{'new': None, 'active': 673, 'critical': 21, 'recovered': 2439497, '1M_pop': '58474', 'total': 2465545}","{'new': None, '1M_pop': '602', 'total': 25375}","{'1M_pop': '463523', 'total': 19544451}",2023-05-30,2023-05-30T14:30:12+00:00
137,Asia,Jordan,10300869.0,"{'new': None, 'active': 1868, 'critical': 59, 'recovered': 1731007, '1M_pop': '169597', 'total': 1746997}","{'new': None, '1M_pop': '1371', 'total': 14122}","{'1M_pop': '1669945', 'total': 17201885}",2023-05-30,2023-05-30T14:30:12+00:00
